Age,Male,Female
50,29.35,33.02
51,28.5,32.13
52,27.66,31.24
53,26.84,30.36
54,26.02,29.48
55,25.21,28.6
56,24.41,27.73
57,23.61,26.87
58,22.82,26
59,22.04,25.15
60,21.27,24.3
61,20.5,23.46
62,19.74,22.63
63,18.99,21.81
64,18.24,20.99
65,17.51,20.19
66,16.79,19.39
67,16.08,18.61
68,15.39,17.84
69,14.7,17.08
70,14.03,16.33
71,13.37,15.59
72,12.72,14.87
73,12.09,14.16
74,11.47,13.47
75,10.87,12.79
76,10.28,12.13
77,9.71,11.48
78,9.16,10.86
79,8.62,10.24
80,8.1,9.65
81,7.6,9.07
82,7.12,8.51
83,6.66,7.97
84,6.22,7.45
85,5.8,6.95
86,5.4,6.48
87,5.02,6.03
88,4.66,5.61
89,4.33,5.22
90,4.02,4.85
91,3.73,4.5
92,3.46,4.19
93,3.22,3.89
94,3,3.63
95,2.81,3.39
96,2.64,3.18
97,2.49,2.98
98,2.36,2.81
99,2.24,2.65
100,2.12,2.49
101,2.01,2.35
102,1.9,2.21
103,1.8,2.07
104,1.7,1.94
105,1.6,1.82
106,1.51,1.7
107,1.42,1.59
108,1.34,1.48
109,1.26,1.38
110,1.18,1.28
111,1.11,1.19
112,1.03,1.1
113,0.97,1.02
114,0.9,0.94
115,0.84,0.87
116,0.78,0.79
117,0.72,0.73
118,0.67,0.67
119,0.61,0.61
